Column1,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지지번주소,Latitude,Longitude,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,안전비상벨설치연도,관리기관명,관리기관전화번호
30,24,방범용,가로변,심원초등학교 앞,,35.52486446,126.552871,양방향,N,N,Y,2017,고창군청,063-560-2790
31,23,방범용,가로변,신림초등학교 정문,,35.49349016,126.7007307,양방향,N,N,Y,2017,고창군청,063-560-2790
32,22,방범용,가로변,성송초등학교 앞,,35.3553148,126.6444943,양방향,N,N,Y,2017,고창군청,063-560-2790
33,21,방범용,가로변,성내초등학교 정문,,35.53742864,126.7432402,양방향,N,N,Y,2017,고창군청,063-560-2790
34,20,방범용,가로변,선동초등학교 앞,,35.36754459,126.5553234,양방향,N,N,Y,2017,고창군청,063-560-2790
35,19,방범용,가로변,상하초등학교 정문,,35.44387792,126.4887125,양방향,N,N,Y,2017,고창군청,063-560-2790
36,18,방범용,가로변,부안초등학교 정문,,35.51278839,126.6635954,양방향,N,N,Y,2017,고창군청,063-560-2790
37,17,방범용,가로변,봉암초등학교 후문,,35.55911707,126.6274682,양방향,N,N,Y,2017,고창군청,063-560-2790
38,16,방범용,가로변,봉암초등학교 정문,,35.55729876,126.6274849,양방향,N,N,Y,2017,고창군청,063-560-2790
39,15,방범용,가로변,무장초등학교 앞,,35.41575081,126.5634787,양방향,N,N,Y,2017,고창군청,063-560-2790
40,14,방범용,가로변,매산초등학교 후문,,35.34039269,126.5941934,양방향,N,N,Y,2017,고창군청,063-560-2790
41,13,방범용,가로변,매산초등학교 정문,,35.34001677,126.5959897,양방향,N,N,Y,2017,고창군청,063-560-2790
42,12,방범용,가로변,동호초등학교 앞,,35.506915,126.493633,양방향,N,N,Y,2017,고창군청,063-560-2790
43,11,방범용,가로변,대아초등학교 정문,,35.44026231,126.6344761,양방향,N,N,Y,2017,고창군청,063-560-2790
44,10,방범용,가로변,대산초등학교 정문,,35.32796998,126.5634177,양방향,N,N,Y,2017,고창군청,063-560-2790
45,9,방범용,가로변,공음초등학교 후문,,35.3769618,126.5103332,양방향,N,N,Y,2017,고창군청,063-560-2790
46,8,방범용,가로변,공음초등학교 정문,,35.3769618,126.5103332,양방향,N,N,Y,2017,고창군청,063-560-2790
47,7,방범용,가로변,고창초등학교정문 앞,,35.43496343,126.7038645,양방향,N,N,Y,2017,고창군청,063-560-2790
48,6,방범용,가로변,연합신경외과 앞,,35.43491828,126.7047498,양방향,N,N,Y,2017,고창군청,063-560-2790
49,5,방범용,가로변,고창남초등학교정문사거리,,35.42999354,126.6991984,양방향,N,N,Y,2017,고창군청,063-560-2790
50,4,방범용,가로변,고창남초등학교관사옆,,35.42966311,126.6968182,양방향,N,N,Y,2017,고창군청,063-560-2790
51,3,방범용,가로변,고창남초등학교 앞,,35.43034156,126.6969024,양방향,N,N,Y,2017,고창군청,063-560-2790
52,2,방범용,가로변,고수초등학교 앞,,35.40393976,126.6850252,양방향,N,N,Y,2017,고창군청,063-560-2790
53,1,방범용,가로변,가평초등학교 앞,,35.47774446,126.7375819,양방향,N,N,Y,2017,고창군청,063-560-2790
54,85,방범용,가로변,흥덕터미널 앞,,35.51919234,126.6990699,양방향,N,N,Y,2021,고창군청,063-560-2790
55,84,방범용,가로변,매산초등학교 서문,,35.33956677,126.593836,양방향,N,N,Y,2021,고창군청,063-560-2790
56,83,방범용,가로변,대아초등학교 후문,,35.43927465,126.6340538,양방향,N,N,Y,2021,고창군청,063-560-2790
57,82,방범용,가로변,고수원광어린이집 앞,,35.42035776,126.6830606,양방향,N,N,Y,2021,고창군청,063-560-2790
58,81,방범용,가로변,체육공원정상,,35.44290106,126.696328,양방향,N,N,Y,2020,고창군청,063-560-2790
59,80,방범용,가로변,생활체육테마공원,,35.44264595,126.6983831,양방향,N,N,Y,2020,고창군청,063-560-2790
60,79,방범용,가로변,덕산공원,,35.42691773,126.6955732,양방향,N,N,Y,2020,고창군청,063-560-2790
61,78,방범용,가로변,조산저수지 공원,,35.3856606,126.6918623,양방향,N,N,Y,2019,고창군청,063-560-2790
62,77,방범용,가로변,모양성 서문 주차장,,35.43247196,126.6977685,양방향,N,N,Y,2019,고창군청,063-560-2790
63,76,방범용,가로변,남부공원 입구,,35.42796187,126.6990669,양방향,N,N,Y,2019,고창군청,063-560-2790
64,마령면-2,기타,화장실,마령체련공원화장실(대),전북특별자치도 진안군 마령면 강정리 636-3,35.744644,127.3471,미연계,N,N,N,1111,마령면행정복지센터,063-430-8329
65,마령면-3,기타,화장실,마령면사무소 화장실,전북특별자치도 진안군 마령면 솔안2길 8,35.734403,127.370861,미연계,N,N,N,1111,마령면행정복지센터,063-430-8329
66,부귀면-1,기타,화장실,화장실정면,,35.85543,127.371864,미연계,N,N,N,1111,부귀면행정복지센터,063-430-8345
67,부귀면-2,기타,화장실,화장실정면,전북특별자치도 진안군 부귀면 세동리 69-3,35.807437,127.323169,미연계,N,N,N,1111,부귀면행정복지센터,063-430-8345
68,부귀면-3,기타,화장실,화장실정면,,35.839152,127.346136,미연계,N,N,N,1111,부귀면행정복지센터,063-430-8345
69,부귀면-4,기타,화장실,화장실정면,,35.835889,127.361502,미연계,N,N,N,1111,부귀면행정복지센터,063-430-8345
70,동향면 체련공원 화장실 1번,기타,화장실,여자화장실,전북특별자치도 진안군 동향면 능금리 2198-2,35.84165,127.57491,미연계,N,N,N,1111,동향면행정복지센터,063-430-8242
71,동향면 체련공원 화장실 2번,기타,화장실,여자화장실,전북특별자치도 진안군 동향면 진성로 1687,35.84134,127.57612,미연계,N,N,N,1111,동향면행정복지센터,063-430-8242
72,동향면행정복지센터화장실,기타,화장실,여자화장실,,35.8382,127.56726,미연계,N,N,N,1111,동향면행정복지센터,063-430-8242
73,천반산휴양림화장실,기타,화장실,여자화장실,전북특별자치도 진안군 동향면 성산리 836-6,35.82314,127.53272,미연계,N,N,N,1111,동향면행정복지센터,063-430-8242
74,상전면-1,방범용,건물,상전면사무소 남자화장실,전북특별자치도 진안군 상전면 주평리 1045-5,35.823062,127.48717,미연계,N,N,N,2019,상전면행정복지센터,063-430-8263
75,상전면-2,방범용,건물,상전면사무소 남자화장실,전북특별자치도 진안군 상전면 주평리 1045-5,35.823062,127.48717,미연계,N,N,N,2019,상전면행정복지센터,063-430-8263
76,상전면-3,방범용,건물,상전다목적구장 남자화장실,전북특별자치도 진안군 상전면 주평리 1045-5,35.822338,127.486693,미연계,N,N,N,2019,상전면행정복지센터,063-430-8263
77,상전면-4,방범용,건물,상전다목적구장 여자화장실,전북특별자치도 진안군 상전면 주평리 1045-5,35.822338,127.486693,미연계,N,N,N,2019,상전면행정복지센터,063-430-8263
78,75,방범용,가로변,구름동산,,35.5396117,126.743676,양방향,N,N,Y,2019,고창군청,063-560-2790
79,74,방범용,가로변,배풍산 정상,,35.52519376,126.700376,양방향,N,N,Y,2019,고창군청,063-560-2790
80,73,방범용,가로변,배풍산 공원,,35.52465906,126.7010133,양방향,N,N,Y,2019,고창군청,063-560-2790
81,72,방범용,가로변,모양성 매표소,,35.43210384,126.7033367,양방향,N,N,Y,2019,고창군청,063-560-2790
82,71,방범용,가로변,MTB파크,,35.43235023,126.7382716,양방향,N,N,Y,2019,고창군청,063-560-2790
83,70,방범용,가로변,고창초등학교 후문,,35.43663868,126.7029209,양방향,N,N,Y,2018,고창군청,063-560-2790
84,69,방범용,가로변,경안어린이집 앞,,35.432387,126.700521,양방향,N,N,Y,2018,고창군청,063-560-2790
85,68,방범용,가로변,고창남초등학교 앞,,35.43034156,126.6969024,양방향,N,N,Y,2018,고창군청,063-560-2790
86,67,방범용,가로변,무장초등학교 후문,,35.41398035,126.5639603,양방향,N,N,Y,2018,고창군청,063-560-2790
87,66,방범용,가로변,상하초등학교 후문,,35.44373292,126.4866676,양방향,N,N,Y,2018,고창군청,063-560-2790
88,65,방범용,가로변,성송초등학교 입구,,35.35512504,126.6454825,양방향,N,N,Y,2018,고창군청,063-560-2790
89,64,방범용,가로변,성내초등학교 입구,,35.53645009,126.7445321,양방향,N,N,Y,2018,고창군청,063-560-2790
90,63,방범용,가로변,가평초등학교 입구,,35.47847842,126.7383412,양방향,N,N,Y,2018,고창군청,063-560-2790
91,62,방범용,가로변,신림초등학교 후문,,35.49324549,126.6983897,양방향,N,N,Y,2018,고창군청,063-560-2790
92,61,방범용,가로변,흥덕초등학교 입구,,35.5185636,126.6999404,양방향,N,N,Y,2018,고창군청,063-560-2790
93,60,방범용,가로변,부안초등학교 후문,,35.51228019,126.6619509,양방향,N,N,Y,2018,고창군청,063-560-2790
94,59,방범용,가로변,동호초등학교 후문,,35.506915,126.493633,양방향,N,N,Y,2018,고창군청,063-560-2790
95,58,방범용,가로변,대아초등학교 후문,,35.44020335,126.6317587,양방향,N,N,Y,2018,고창군청,063-560-2790
96,57,방범용,가로변,아산초등학교 후문,,35.48339911,126.6065849,양방향,N,N,Y,2018,고창군청,063-560-2790
97,56,방범용,가로변,고창군통합관제센터,,35.43585456,126.7020165,양방향,N,N,Y,2018,고창군청,063-560-2790
98,55,방범용,가로변,택지공원놀이터,,35.43654965,126.7098608,양방향,N,N,Y,2018,고창군청,063-560-2790
99,환경과 5,방범용,화장실,내장산문화광장,전북특별자치도 정읍시 부전동 1004,35.5255932,126.8961447,양방향,Y,N,N,2019,전북특별자치도 정읍시청,063-539-5732
100,환경과 4,방범용,화장실,워터파크화장실,전북특별자치도 정읍시 쌍암동 536-4,35.5205447,126.8960373,양방향,Y,N,N,2019,전북특별자치도 정읍시청,063-539-5732
101,환경과 3,방범용,화장실,칠보물테마유원지,전북특별자치도 정읍시 칠보면 무성리 1017-1,35.6061085,126.9854212,양방향,Y,N,N,2019,전북특별자치도 정읍시청,063-539-5732
102,환경과 2,방범용,화장실,산내면소재지,전북특별자치도 정읍시 산내면 능교리 444-1,35.5668234,127.0297879,양방향,Y,N,N,2019,전북특별자치도 정읍시청,063-539-5732
103,환경과 1,방범용,화장실,장명동 소공원휴게소,전북특별자치도 정읍시 구룡동 산 242-25,35.5774724,126.8716255,양방향,Y,N,N,2019,전북특별자치도 정읍시청,063-539-5732
104,산림녹지과 12,방범용,화장실,공단공원,전북특별자치도 정읍시 하북동 858-1,35.5941194,126.8687801,양방향,Y,N,N,2018,전북특별자치도 정읍시청,063-539-5772
105,산림녹지과 11,방범용,화장실,수성근린공원,전북특별자치도 정읍시 수성동 931,35.5821619,126.8538212,양방향,Y,N,N,2018,전북특별자치도 정읍시청,063-539-5772
106,상전면-5,방범용,건물,상전게이트볼장 남자화장실,전북특별자치도 진안군 상전면 주평리 1045-5,35.822467,127.486473,미연계,N,N,N,2019,상전면행정복지센터,063-430-8263
107,상전면-6,방범용,건물,상전게이트볼장 여자화장실,전북특별자치도 진안군 상전면 주평리 1045-5,35.822467,127.486473,미연계,N,N,N,2019,상전면행정복지센터,063-430-8263
108,정천면-1,기타,화장실,원월평유원지내 화장실,전북특별자치도 진안군 정천면 월평리 983-1,35.854332,127.440378,미연계,N,N,N,1111,정천면행정복지센터,063-430-8364
109,정천면-2,기타,화장실,학동마을 화장실,전북특별자치도 진안군 정천면 봉학리 882-4,35.889023,127.397243,미연계,N,N,N,1111,정천면행정복지센터,063-430-8364
110,정천면-3,기타,화장실,정천면사무소 공중화장실,,35.872699,127.429288,미연계,N,N,N,1111,정천면행정복지센터,063-430-8364
111,정천면-4,기타,화장실,마조마을 간이화장실(마을안),,35.89276,127.375669,미연계,N,N,N,1111,정천면행정복지센터,063-430-8364
112,주천면사무소,기타,화장실,여자화장실,전북특별자치도 진안군 주천면 주양리 437-3,35.97517,127.4256,미연계,N,N,N,2015,주천면행정복지센터,063-430-8398
113,안정화장실,기타,화장실,여자화장실,전북특별자치도 진안군 주천면 운봉리 324-1,35.94697,127.42587,미연계,N,N,N,2020,주천면행정복지센터,063-430-8398
114,처사화장실,기타,화장실,여자화장실,전북특별자치도 진안군 주천면 대불리 1936-1,35.93379,127.35624,미연계,N,N,N,2020,주천면행정복지센터,063-430-8398
115,진안고원시장-1,방범용,화장실,진안고원시장 공중화장실(식당동 여자화장실),전북특별자치도 진안군 진안읍 군상리 406-7,35.79274,127.42947,미연계,N,N,N,2021,진안군청(농촌활력과),063-430-8053
116,진안고원시장-2,약자보호,화장실,진안고원시장 공중화장실(식당동 장애인화장실),전북특별자치도 진안군 진안읍 군상리 406-7,35.79271,127.42943,미연계,N,N,N,2021,진안군청(농촌활력과),063-430-8053
117,진안고원시장-3,방범용,화장실,진안고원시장 공중화장실(점포동),전북특별자치도 진안군 진안읍 군상리 406-7,35.79226,127.42957,미연계,N,N,N,2021,진안군청(농촌활력과),063-430-8053
118,문화체육과-1,약자보호,화장실,진안파크골프장,전북특별자치도 진안군 진안읍 운산리 70,35.815779,127.461391,미연계,N,N,N,1111,진안군청(문화체육과),063-430-2377
119,문화체육과-2,약자보호,화장실,공설운동장(건물내),전북특별자치도 진안군 진안읍 군하리 34,35.786712,127.427753,미연계,N,N,N,1111,진안군청(문화체육과),063-430-2377
120,문화체육과-3,약자보호,화장실,월랑공원(국궁장 옆),전북특별자치도 진안군 진안읍 군하리 35,35.786743,127.429213,미연계,N,N,N,1111,진안군청(문화체육과),063-430-2377
121,문화체육과-4,약자보호,화장실,월랑공원(전천후게이트볼장 옆),전북특별자치도 진안군 진안읍 군하리 58,35.788235,127.427081,미연계,N,N,N,1111,진안군청(문화체육과),063-430-2377
122,농업기술센터-1,방범용,화장실,농업기술센터 여자화장실,,35.761909,127.43709,미연계,N,N,N,2019,농업기술센터,063-430-8616
123,시외버스공용정류장-1,약자보호,건물,진안시외버스공용정류장 화장실,전북특별자치도 진안군 진안읍 군상리 401,35.792077,127.431035,미연계,N,N,N,1111,진안군청(건설교통과),063-433-2508
124,0040,방범용,가로변,119혁신 안전센터 뒷길,,35.83215092,127.0234765,양방향,N,N,N,2016,완주군청,063-290-2303
125,0041,방범용,가로변,정농마을 입구 삼거리,,35.8403909,127.018388,양방향,N,N,N,2016,완주군청,063-290-2303
126,0042,방범용,가로변,혁신카센터 뒷길 삼거리,,35.8330997,127.0216772,양방향,N,N,N,2016,완주군청,063-290-2303
127,0043,방범용,가로변,정든농원앞,,35.83361458,127.0233972,양방향,N,N,N,2016,완주군청,063-290-2303
128,0044,방범용,가로변,정농마을 과수원 삼거리,,35.8401696,127.0181107,양방향,N,N,N,2016,완주군청,063-290-2303
129,0045,방범용,가로변,해교마을 축제타운 원룸단지입구,,35.8320034,127.0178487,양방향,N,N,N,2016,완주군청,063-290-2303
130,0046,방범용,가로변,신마산마을회관모정입구,,35.820045,127.027094,양방향,N,N,N,2016,완주군청,063-290-2303
131,0047,방범용,가로변,둔산새마을금고건너편,,35.57432072,127.7193728,양방향,N,N,N,2016,완주군청,063-290-2303
132,0048,방범용,가로변,구중교다리앞 부근,,36.0274212,127.1130815,양방향,N,N,N,2016,완주군청,063-290-2303
133,0050,방범용,가로변,네네치킨사거리,,35.914191,127.0716035,양방향,N,N,N,2015,완주군청,063-290-2303
134,0051,방범용,가로변,봉동둔산버스승강장,,35.57494028,127.7490728,양방향,N,N,N,2016,완주군청,063-290-2303
135,0052,방범용,가로변,제일교회정문앞,,35.9127964,127.0716069,양방향,N,N,N,2018,완주군청,063-290-2303
136,0053,방범용,가로변,제일교회 아래,,35.912552,127.9724473,양방향,N,N,N,2018,완주군청,063-290-2303
137,0054,방범용,가로변,탑골드빌라앞,,35.9146757,127.070428,양방향,N,N,N,2018,완주군청,063-290-2303
138,0055,방범용,가로변,한내월룸 앞,,35.9125663,127.069746,양방향,N,N,N,2018,완주군청,063-290-2303
139,0056,방범용,가로변,자이빌원룸 앞,,35.919226,127.0691318,양방향,N,N,N,2018,완주군청,063-290-2303
140,0057,방범용,가로변,영진월룸 앞,,35.919226,127.0689109,양방향,N,N,N,2018,완주군청,063-290-2303
141,0058,방범용,가로변,좋은사람들 원룸뒤,,35.9105542,127.0709784,양방향,N,N,N,2018,완주군청,063-290-2303
142,0059,방범용,가로변,우석대고시텔 골목앞,,35.9139857,127.0704471,양방향,N,N,N,2018,완주군청,063-290-2303
143,0060,방범용,가로변,막사발 전시관앞,,35.9068741,127.0644799,양방향,N,N,N,2018,완주군청,063-290-2303
144,0061,방범용,가로변,농기계임대사업소 옆,,35.9185671,127.0954319,양방향,N,N,N,2018,완주군청,063-290-2303
145,0062,방범용,가로변,화산원룸 앞,,35.91563746,127.0679702,양방향,N,N,N,2018,완주군청,063-290-2303
146,0063,방범용,가로변,솔잎원룸 앞,,35.91605119,127.0691185,양방향,N,N,N,2018,완주군청,063-290-2303
147,0064,방범용,가로변,이레원 원룸앞,,35.9116995,127.0627043,양방향,N,N,N,2018,완주군청,063-290-2303
148,0065,방범용,가로변,원후정 3길 골목,,35.9104343,127.060709,양방향,N,N,N,2018,완주군청,063-290-2303
149,0066,방범용,가로변,둔산리 토니PC방앞,,35.95889578,127.1250062,양방향,N,N,N,2018,완주군청,063-290-2303
150,0067,방범용,가로변,용진읍우체국앞,,35.8808266,127.1559255,양방향,N,N,N,2018,완주군청,063-290-2303
151,0069,방범용,가로변,애통사거리허준건강원앞,,35.81859,126.9988251,양방향,N,N,N,2018,완주군청,063-290-2303
152,0071,방범용,가로변,후상마을 철길엘리베이터 옆,,35.9061324,127.0614871,양방향,N,N,N,2019,완주군청,063-290-2303
153,0072,방범용,가로변,삼례시장 화장실앞,,35.9102042,127.0724084,양방향,N,N,N,2019,완주군청,063-290-2303
154,0073,방범용,가로변,도은어린이집 앞,,35.9332096,127.159962,양방향,N,N,N,2019,완주군청,063-290-2303
155,0074,방범용,가로변,봉동터미널 버스정류장앞,,35.9380947,127.1660692,양방향,N,N,N,2019,완주군청,063-290-2303
156,0075,방범용,가로변,신진맨션 골목,,35.94126,127.169213,양방향,N,N,N,2019,완주군청,063-290-2303
157,0076,방범용,가로변,명진로얄아파트 골목,,35.9373446,127.1618476,양방향,N,N,N,2019,완주군청,063-290-2303
158,0189,방범용,가로변,이성초 정문,,35.47491064,127.2412512,양방향,N,N,N,2012,완주군청,063-290-2303
159,0190,방범용,가로변,소양서초 정문,,35.5134074,127.1236076,양방향,N,N,N,2012,완주군청,063-290-2303
160,0191,방범용,가로변,소양교회 후문앞,,35.51250811,127.1424396,양방향,N,N,N,2011,완주군청,063-290-2303
161,0193,방범용,가로변,소양초 정문,,35.8554077,127.2335593,양방향,N,N,N,2012,완주군청,063-290-2303
162,0194,방범용,가로변,동양초 정문,,35.50377268,127.1612821,양방향,N,N,N,2013,완주군청,063-290-2303
163,0195,방범용,가로변,송광초 정문,,35.5339768,127.1443861,양방향,N,N,N,2013,완주군청,063-290-2303
164,0196,방범용,가로변,대덕초 정문,,35.39393012,127.6384716,양방향,N,N,N,2012,완주군청,063-290-2303
165,0198,방범용,가로변,구이초 정문,,35.4316338,127.7119964,양방향,N,N,N,2011,완주군청,063-290-2303
166,0199,방범용,가로변,구이초 후문1,,35.43143796,127.7137136,양방향,N,N,N,2011,완주군청,063-290-2303
167,0201,방범용,가로변,태봉초 정문,,35.44413484,127.8592872,양방향,N,N,N,2013,완주군청,063-290-2303
168,0202,방범용,가로변,청명초 정문,,35.9562928,127.7281028,양방향,N,N,N,2012,완주군청,063-290-2303
169,0203,방범용,가로변,청명초 후문,,35.4562928,127.7308892,양방향,N,N,N,2012,완주군청,063-290-2303
170,0204,방범용,가로변,고산초 정문,,35.58275196,127.1249201,양방향,N,N,N,2012,완주군청,063-290-2303
171,0205,방범용,가로변,고산초 후문,,35.5831458,127.124829,양방향,N,N,N,2012,완주군청,063-290-2303
172,0206,방범용,가로변,삼우초 후문,,35.5846416,127.1052349,양방향,N,N,N,2013,완주군청,063-290-2303
173,0207,방범용,가로변,삼우초 정문,,35.9680397,127.1778036,양방향,N,N,N,2012,완주군청,063-290-2303
174,1,약자보호,가로변,군청 앞,순창읍 순화리 375-2,35.37432044,127.1365145,양방향,N,Y,N,2016,순창군청,063-650-1245
175,2,약자보호,가로변,까투리 사거리,순창읍 순화리 210-1,35.37336078,127.1423179,양방향,N,Y,N,2016,순창군청,063-650-1245
176,3,약자보호,가로변,영빈장,순창읍 남계리 221-3,35.37482562,127.1429214,양방향,N,Y,N,2016,순창군청,063-650-1245
177,4,약자보호,가로변,사랑교회,순창읍 남계리 964,35.37449333,127.1479591,양방향,N,Y,N,2016,순창군청,063-650-1245
178,5,약자보호,가로변,순창초 정문,,35.37519268,127.1387568,양방향,N,Y,N,2016,순창군청,063-650-1245
179,6,약자보호,공원,일품공원 _ 순창문화원 앞,순창읍 남계리 122-2,35.37681727,127.1495217,양방향,N,Y,N,2016,순창군청,063-650-1245
180,7,약자보호,공원,일품공원 _ 제일고 방향,순창읍 남계리 122-2,35.37681727,127.1495217,양방향,N,Y,N,2016,순창군청,063-650-1245
181,8,약자보호,가로변,노인 건강 증진센터,순창읍 남계리 625-4,35.37293479,127.1411751,양방향,N,Y,N,2016,순창군청,063-650-1245
182,9,약자보호,건물,팔덕초 정문,,35.39292587,127.0970645,양방향,N,Y,N,2016,순창군청,063-650-1245
183,10,약자보호,가로변,중앙초 후문,,35.37728553,127.1451051,양방향,N,Y,N,2016,순창군청,063-650-1245
184,11,약자보호,가로변,중앙초 정문,,35.37728553,127.1451051,양방향,N,Y,N,2016,순창군청,063-650-1245
185,12,약자보호,가로변,순창 어린이집,,35.37664709,127.1352409,양방향,N,Y,N,2016,순창군청,063-650-1245
186,13,약자보호,가로변,순창터미널 화장실 앞,,35.37694163,127.1411508,양방향,N,Y,N,2016,순창군청,063-650-1245
187,14,약자보호,가로변,대석아파트 주변,순창읍 납계리 343-3,35.37434428,127.147585,양방향,N,Y,N,2016,순창군청,063-650-1245
188,15,약자보호,가로변,꿈초롱 빛초롱 어린이집 앞,,35.3749447,127.1408722,양방향,N,Y,N,2016,순창군청,063-650-1245
189,16,약자보호,가로변,시산초 정문,,35.49207118,126.9805428,양방향,N,Y,N,2016,순창군청,063-650-1245
190,17,약자보호,가로변,쌍치초 정문,,35.50207204,127.0028473,양방향,N,Y,N,2016,순창군청,063-650-1245
191,18,약자보호,가로변,복흥초 정문,,35.4311937,126.9323847,양방향,N,Y,N,2016,순창군청,063-650-1245
192,19,약자보호,가로변,동산초 정문,,35.45593761,126.9204282,양방향,N,Y,N,2016,순창군청,063-650-1245
193,0208,방범용,가로변,전북재활학교 정문,,35.59223332,127.1472068,양방향,N,N,N,2012,완주군청,063-290-2303
194,0209,방범용,가로변,고산양화분교정문,,35.56427056,127.1215703,양방향,N,N,N,2013,완주군청,063-290-2303
195,0210,방범용,가로변,비봉초 정문,,35.5951772,127.818582,양방향,N,N,N,2012,완주군청,063-290-2303
196,0211,방범용,가로변,비봉초 후문,,35.59537684,127.8235716,양방향,N,N,N,2012,완주군청,063-290-2303
197,0212,방범용,가로변,운주초 정문,,36.531722,127.1642632,양방향,N,N,N,2012,완주군청,063-290-2303
198,0213,방범용,가로변,화산초 후문,,36.269756,127.1214778,양방향,N,N,N,2012,완주군청,063-290-2303
199,0214,방범용,가로변,화산초 정문,,36.237068,127.1288272,양방향,N,N,N,2012,완주군청,063-290-2303
200,0215,방범용,가로변,동상초 정문,,35.57262548,127.1734778,양방향,N,N,N,2013,완주군청,063-290-2303
201,0216,방범용,가로변,가천초 정문,,36.0330311,127.2625738,양방향,N,N,N,2013,완주군청,063-290-2303
202,0218,방범용,가로변,명작유치원부근,,35.9620422,127.1168953,양방향,N,N,N,2016,완주군청,063-290-2303
203,0219,방범용,가로변,장애인복지관,,35.5686316,127.936774,양방향,N,N,N,2016,완주군청,063-290-2303
204,0220,방범용,가로변,한옥숲유치원,,35.5619176,127.954846,양방향,N,N,N,2016,완주군청,063-290-2303
205,0221,방범용,가로변,봉동유치원,,35.56182436,127.9370368,양방향,N,N,N,2016,완주군청,063-290-2303
206,0222,방범용,가로변,무지개유치원,,35.56201228,127.9533304,양방향,N,N,N,2016,완주군청,063-290-2303
